Time,test01,test02,test03,test04
01/01/2014 00:00,33,33,33,33
01/01/2014 01:00,33,33,33,33
01/01/2014 02:00,33,33,33,33
01/01/2014 03:00,33,33,33,33
01/01/2014 04:00,33,33,33,33
01/01/2014 05:00,33,33,33,33
01/01/2014 06:00,33,33,33,33
01/01/2014 07:00,33,33,33,33
01/01/2014 08:00,33,33,33,33
01/01/2014 09:00,33,33,33,33
01/01/2014 10:00,33,33,33,33
01/01/2014 11:00,33,33,33,33
01/01/2014 12:00,33,33,33,33
01/01/2014 13:00,33,33,33,33
01/01/2014 14:00,33,33,33,33
01/01/2014 15:00,33,33,33,33
01/01/2014 16:00,33,33,33,33
01/01/2014 17:00,33,33,33,33
01/01/2014 18:00,33,33,33,33
01/01/2014 19:00,33,33,33,33
01/01/2014 20:00,33,33,33,33
01/01/2014 21:00,33,33,33,33
01/01/2014 22:00,33,33,33,33
01/01/2014 23:00,33,33,33,33
01/02/2014 00:00,33,33,33,33
01/02/2014 01:00,33,33,33,33
01/02/2014 02:00,33,33,33,33
01/02/2014 03:00,33,33,33,33
01/02/2014 04:00,33,33,33,33
01/02/2014 05:00,33,33,33,33
01/02/2014 06:00,33,33,33,33
01/02/2014 07:00,33,33,33,33
01/02/2014 08:00,33,33,33,33
01/02/2014 09:00,33,33,33,33
01/02/2014 10:00,33,33,33,33
01/02/2014 11:00,33,33,33,33
01/02/2014 12:00,33,33,33,33
01/02/2014 13:00,33,33,33,33
01/02/2014 14:00,33,33,33,33
01/02/2014 15:00,33,33,33,33
01/02/2014 16:00,33,33,33,33
01/02/2014 17:00,33,33,33,33
01/02/2014 18:00,33,33,33,33
01/02/2014 19:00,33,33,33,33
01/02/2014 20:00,33,33,33,33
01/02/2014 21:00,33,33,33,33
01/02/2014 22:00,33,33,33,33
01/02/2014 23:00,33,33,33,33
01/03/2014 00:00,33,33,33,33
01/03/2014 01:00,33,33,33,33
01/03/2014 02:00,33,33,33,33
01/03/2014 03:00,33,33,33,33
01/03/2014 04:00,33,33,33,33
01/03/2014 05:00,33,33,33,33
01/03/2014 06:00,33,33,33,33
01/03/2014 07:00,33,33,33,33
01/03/2014 08:00,33,33,33,33
01/03/2014 09:00,33,33,33,33
01/03/2014 10:00,33,33,33,33
01/03/2014 11:00,33,33,33,33
01/03/2014 12:00,33,33,33,33
01/03/2014 13:00,33,33,33,33
01/03/2014 14:00,33,33,33,33
01/03/2014 15:00,33,33,33,33
01/03/2014 16:00,33,33,33,33
01/03/2014 17:00,33,33,33,33
01/03/2014 18:00,33,33,33,33
01/03/2014 19:00,33,33,33,33
01/03/2014 20:00,33,33,33,33
01/03/2014 21:00,33,33,33,33
01/03/2014 22:00,33,33,33,33
01/03/2014 23:00,33,33,33,33
01/04/2014 00:00,33,33,33,33
01/04/2014 01:00,33,33,33,33
01/04/2014 02:00,33,33,33,33
01/04/2014 03:00,33,33,33,33
01/04/2014 04:00,33,33,33,33
01/04/2014 05:00,33,33,33,33
01/04/2014 06:00,33,33,33,33
01/04/2014 07:00,33,33,33,33
01/04/2014 08:00,33,33,33,33
01/04/2014 09:00,33,33,33,33
01/04/2014 10:00,33,33,33,33
01/04/2014 11:00,33,33,33,33
01/04/2014 12:00,33,33,33,33
01/04/2014 13:00,33,33,33,33
01/04/2014 14:00,33,33,33,33
01/04/2014 15:00,33,33,33,33
01/04/2014 16:00,33,33,33,33
01/04/2014 17:00,33,33,33,33
01/04/2014 18:00,33,33,33,33
01/04/2014 19:00,33,33,33,33
01/04/2014 20:00,33,33,33,33
01/04/2014 21:00,33,33,33,33
01/04/2014 22:00,33,33,33,33
01/04/2014 23:00,33,33,33,33
01/05/2014 00:00,33,33,33,33
01/05/2014 01:00,33,33,33,33
01/05/2014 02:00,33,33,33,33
01/05/2014 03:00,33,33,33,33
01/05/2014 03:59,33,33,33,33
01/05/2014 04:59,33,33,33,33
01/05/2014 05:59,33,33,33,33
01/05/2014 06:59,33,33,33,33
01/05/2014 07:59,33,33,33,33
01/05/2014 08:59,33,33,33,33
01/05/2014 09:59,33,33,33,33
01/05/2014 10:59,33,33,33,33
01/05/2014 11:59,33,33,33,33
01/05/2014 12:59,33,33,33,33
01/05/2014 13:59,33,33,33,33
01/05/2014 14:59,33,33,33,33
01/05/2014 15:59,33,33,33,33
01/05/2014 16:59,33,33,33,33
01/05/2014 17:59,33,33,33,33
01/05/2014 18:59,33,33,33,33
01/05/2014 19:59,33,33,33,33
01/05/2014 20:59,33,33,33,33
01/05/2014 21:59,33,33,33,33
01/05/2014 22:59,33,33,33,33
01/05/2014 23:59,33,33,33,33
01/06/2014 00:59,33,33,33,33
01/06/2014 01:59,33,33,33,33
01/06/2014 02:59,33,33,33,33
01/06/2014 03:59,33,33,33,33
01/06/2014 04:59,33,33,33,33
01/06/2014 05:59,33,33,33,33
01/06/2014 06:59,33,33,33,33
01/06/2014 07:59,33,33,33,33
01/06/2014 08:59,33,33,33,33
01/06/2014 09:59,33,33,33,33
01/06/2014 10:59,33,33,33,33
01/06/2014 11:59,33,33,33,33
01/06/2014 12:59,33,33,33,33
01/06/2014 13:59,33,33,33,33
01/06/2014 14:59,33,33,33,33
01/06/2014 15:59,33,33,33,33
01/06/2014 16:59,33,33,33,33
01/06/2014 17:59,33,33,33,33
01/06/2014 18:59,33,33,33,33
01/06/2014 19:59,33,33,33,33
01/06/2014 20:59,33,33,33,33
01/06/2014 21:59,33,33,33,33
01/06/2014 22:59,33,33,33,33
01/06/2014 23:59,33,33,33,33
01/07/2014 00:59,33,33,33,33
01/07/2014 01:59,33,33,33,33
01/07/2014 02:59,33,33,33,33
01/07/2014 03:59,33,33,33,33
01/07/2014 04:59,33,33,33,33
01/07/2014 05:59,33,33,33,33
01/07/2014 06:59,33,33,33,33
01/07/2014 07:59,33,33,33,33
01/07/2014 08:59,33,33,33,33
01/07/2014 09:59,33,33,33,33
01/07/2014 10:59,33,33,33,33
01/07/2014 11:59,33,33,33,33
01/07/2014 12:59,33,33,33,33
01/07/2014 13:59,33,33,33,33
01/07/2014 14:59,33,33,33,33
01/07/2014 15:59,33,33,33,33
01/07/2014 16:59,33,33,33,33
01/07/2014 17:59,33,33,33,33
01/07/2014 18:59,33,33,33,33
01/07/2014 19:59,33,33,33,33
01/07/2014 20:59,33,33,33,33
01/07/2014 21:59,33,33,33,33
01/07/2014 22:59,33,33,33,33
01/07/2014 23:59,33,33,33,33
01/08/2014 00:59,33,33,33,33
01/08/2014 01:59,33,33,33,33
01/08/2014 02:59,33,33,33,33
01/08/2014 03:59,33,33,33,33
01/08/2014 04:59,33,33,33,33
01/08/2014 05:59,33,33,33,33
01/08/2014 06:59,33,33,33,33
01/08/2014 07:59,33,33,33,33
01/08/2014 08:59,33,33,33,33
01/08/2014 09:59,33,33,33,33
01/08/2014 10:59,33,33,33,33
01/08/2014 11:59,33,33,33,33
01/08/2014 12:59,33,33,33,33
01/08/2014 13:59,33,33,33,33
01/08/2014 14:59,33,33,33,33
01/08/2014 15:59,33,33,33,33
01/08/2014 16:59,33,33,33,33
01/08/2014 17:59,33,33,33,33
01/08/2014 18:59,33,33,33,33
01/08/2014 19:59,33,33,33,33
01/08/2014 20:59,33,33,33,33
01/08/2014 21:59,33,33,33,33
01/08/2014 22:59,33,33,33,33
01/08/2014 23:59,33,33,33,33
01/09/2014 00:59,33,33,33,33
01/09/2014 01:59,33,33,33,33
01/09/2014 02:59,33,33,33,33
01/09/2014 03:59,33,33,33,33
01/09/2014 04:59,33,33,33,33
01/09/2014 05:59,33,33,33,33
01/09/2014 06:59,33,33,33,33
01/09/2014 07:59,33,33,33,33
01/09/2014 08:59,33,33,33,33
01/09/2014 09:59,33,33,33,33
01/09/2014 10:59,33,33,33,33
01/09/2014 11:59,33,33,33,33
01/09/2014 12:59,33,33,33,33
01/09/2014 13:59,33,33,33,33
01/09/2014 14:59,33,33,33,33
01/09/2014 15:59,33,33,33,33
01/09/2014 16:59,33,33,33,33
01/09/2014 17:59,33,33,33,33
01/09/2014 18:59,33,33,33,33
01/09/2014 19:59,33,33,33,33
01/09/2014 20:59,33,33,33,33
01/09/2014 21:59,33,33,33,33
01/09/2014 22:59,33,33,33,33
01/09/2014 23:59,33,33,33,33
01/10/2014 00:59,33,33,33,33
01/10/2014 01:59,33,33,33,33
01/10/2014 02:59,33,33,33,33
01/10/2014 03:59,33,33,33,33
01/10/2014 04:59,33,33,33,33
01/10/2014 05:59,33,33,33,33
01/10/2014 06:59,33,33,33,33
01/10/2014 07:59,33,33,33,33
01/10/2014 08:59,33,33,33,33
01/10/2014 09:59,33,33,33,33
01/10/2014 10:59,33,33,33,33
01/10/2014 11:59,33,33,33,33
01/10/2014 12:59,33,33,33,33
01/10/2014 13:59,33,33,33,33
01/10/2014 14:59,33,33,33,33
01/10/2014 15:59,33,33,33,33
01/10/2014 16:59,33,33,33,33
01/10/2014 17:59,33,33,33,33
01/10/2014 18:59,33,33,33,33
01/10/2014 19:59,33,33,33,33
01/10/2014 20:59,33,33,33,33
01/10/2014 21:59,33,33,33,33
01/10/2014 22:59,33,33,33,33
01/10/2014 23:59,33,33,33,33
01/11/2014 00:59,33,33,33,33
01/11/2014 01:59,33,33,33,33
01/11/2014 02:59,33,33,33,33
01/11/2014 03:59,33,33,33,33
01/11/2014 04:59,33,33,33,33
01/11/2014 05:59,33,33,33,33
01/11/2014 06:59,33,33,33,33
01/11/2014 07:59,33,33,33,33
01/11/2014 08:59,33,33,33,33
01/11/2014 09:59,33,33,33,33
01/11/2014 10:59,33,33,33,33
01/11/2014 11:59,33,33,33,33
01/11/2014 12:59,33,33,33,33
01/11/2014 13:59,33,33,33,33
01/11/2014 14:59,33,33,33,33
01/11/2014 15:59,33,33,33,33
01/11/2014 16:59,33,33,33,33
01/11/2014 17:59,33,33,33,33
01/11/2014 18:59,33,33,33,33
01/11/2014 19:59,33,33,33,33
01/11/2014 20:59,33,33,33,33
01/11/2014 21:59,33,33,33,33
01/11/2014 22:59,33,33,33,33
01/11/2014 23:59,33,33,33,33
01/12/2014 00:59,33,33,33,33
01/12/2014 01:59,33,33,33,33
01/12/2014 02:59,33,33,33,33
01/12/2014 03:59,33,33,33,33
01/12/2014 04:59,33,33,33,33
01/12/2014 05:59,33,33,33,33
01/12/2014 06:59,33,33,33,33
01/12/2014 07:59,33,33,33,33
01/12/2014 08:59,33,33,33,33
01/12/2014 09:59,33,33,33,33
01/12/2014 10:59,33,33,33,33
01/12/2014 11:59,33,33,33,33
01/12/2014 12:59,33,33,33,33
01/12/2014 13:59,33,33,33,33
01/12/2014 14:59,33,33,33,33
01/12/2014 15:59,33,33,33,33
01/12/2014 16:59,33,33,33,33
01/12/2014 17:59,33,33,33,33
01/12/2014 18:59,33,33,33,33
01/12/2014 19:59,33,33,33,33
01/12/2014 20:59,33,33,33,33
01/12/2014 21:59,33,33,33,33
01/12/2014 22:59,33,33,33,33
01/12/2014 23:59,33,33,33,33
01/13/2014 00:59,33,33,33,33
01/13/2014 01:59,33,33,33,33
01/13/2014 02:59,33,33,33,33
01/13/2014 03:59,33,33,33,33
01/13/2014 04:59,33,33,33,33
01/13/2014 05:59,33,33,33,33
01/13/2014 06:59,33,33,33,33
01/13/2014 07:59,33,33,33,33
01/13/2014 08:59,33,33,33,33
01/13/2014 09:59,33,33,33,33
01/13/2014 10:59,33,33,33,33
01/13/2014 11:59,33,33,33,33
01/13/2014 12:59,33,33,33,33
01/13/2014 13:59,33,33,33,33
01/13/2014 14:59,33,33,33,33
01/13/2014 15:59,33,33,33,33
01/13/2014 16:59,33,33,33,33
01/13/2014 17:59,33,33,33,33
01/13/2014 18:59,33,33,33,33
01/13/2014 19:59,33,33,33,33
01/13/2014 20:59,33,33,33,33
01/13/2014 21:59,33,33,33,33
01/13/2014 22:59,33,33,33,33
01/13/2014 23:59,33,33,33,33
01/14/2014 00:59,33,33,33,33
01/14/2014 01:59,33,33,33,33
01/14/2014 02:59,33,33,33,33
01/14/2014 03:59,33,33,33,33
01/14/2014 04:59,33,33,33,33
01/14/2014 05:59,33,33,33,33
01/14/2014 06:59,33,33,33,33
01/14/2014 07:59,33,33,33,33
01/14/2014 08:59,33,33,33,33
01/14/2014 09:59,33,33,33,33
01/14/2014 10:59,33,33,33,33
01/14/2014 11:59,33,33,33,33
01/14/2014 12:59,33,33,33,33
01/14/2014 13:59,33,33,33,33
01/14/2014 14:59,33,33,33,33
01/14/2014 15:59,33,33,33,33
01/14/2014 16:59,33,33,33,33
01/14/2014 17:59,33,33,33,33
01/14/2014 18:59,33,33,33,33
01/14/2014 19:59,33,33,33,33
01/14/2014 20:59,33,33,33,33
01/14/2014 21:59,33,33,33,33
01/14/2014 22:59,33,33,33,33
01/14/2014 23:59,33,33,33,33
01/15/2014 00:59,33,33,33,33
01/15/2014 01:59,33,33,33,33
01/15/2014 02:59,33,33,33,33
01/15/2014 03:59,33,33,33,33
01/15/2014 04:59,33,33,33,33
01/15/2014 05:59,33,33,33,33
01/15/2014 06:59,33,33,33,33
01/15/2014 07:59,33,33,33,33
01/15/2014 08:59,33,33,33,33
01/15/2014 09:59,33,33,33,33
01/15/2014 10:59,33,33,33,33
01/15/2014 11:59,33,33,33,33
01/15/2014 12:59,33,33,33,33
01/15/2014 13:59,33,33,33,33
01/15/2014 14:59,33,33,33,33
01/15/2014 15:59,33,33,33,33
01/15/2014 16:59,33,33,33,33
01/15/2014 17:59,33,33,33,33
01/15/2014 18:59,33,33,33,33
01/15/2014 19:59,33,33,33,33
01/15/2014 20:59,33,33,33,33
01/15/2014 21:59,33,33,33,33
01/15/2014 22:59,33,33,33,33
01/15/2014 23:59,33,33,33,33
01/16/2014 00:59,33,33,33,33
01/16/2014 01:59,33,33,33,33
01/16/2014 02:59,33,33,33,33
01/16/2014 03:59,33,33,33,33
01/16/2014 04:59,33,33,33,33
01/16/2014 05:59,33,33,33,33
01/16/2014 06:59,33,33,33,33
01/16/2014 07:59,33,33,33,33
01/16/2014 08:59,33,33,33,33
01/16/2014 09:59,33,33,33,33
01/16/2014 10:59,33,33,33,33
01/16/2014 11:59,33,33,33,33
01/16/2014 12:59,33,33,33,33
01/16/2014 13:59,33,33,33,33
01/16/2014 14:59,33,33,33,33
01/16/2014 15:59,33,33,33,33
01/16/2014 16:59,33,33,33,33
01/16/2014 17:59,33,33,33,33
01/16/2014 18:59,33,33,33,33
01/16/2014 19:59,33,33,33,33
01/16/2014 20:59,33,33,33,33
01/16/2014 21:59,33,33,33,33
01/16/2014 22:59,33,33,33,33
01/16/2014 23:59,33,33,33,33
01/17/2014 00:59,33,33,33,33
01/17/2014 01:59,33,33,33,33
01/17/2014 02:59,33,33,33,33
01/17/2014 03:59,33,33,33,33
01/17/2014 04:59,33,33,33,33
01/17/2014 05:59,33,33,33,33
01/17/2014 06:59,33,33,33,33
01/17/2014 07:59,33,33,33,33
01/17/2014 08:59,33,33,33,33
01/17/2014 09:59,33,33,33,33
01/17/2014 10:59,33,33,33,33
01/17/2014 11:59,33,33,33,33
