Time,test01,test02,test03,test04
01/01/2014 00:00,20,20,20,20
01/01/2014 01:00,20,20,20,20
01/01/2014 02:00,20,20,20,20
01/01/2014 03:00,20,20,20,20
01/01/2014 04:00,20,20,20,20
01/01/2014 05:00,20,20,20,20
01/01/2014 06:00,20,20,20,20
01/01/2014 07:00,20,20,20,20
01/01/2014 08:00,20,20,20,20
01/01/2014 09:00,20,20,20,20
01/01/2014 10:00,20,20,20,20
01/01/2014 11:00,20,20,20,20
01/01/2014 12:00,20,20,20,20
01/01/2014 13:00,20,20,20,20
01/01/2014 14:00,20,20,20,20
01/01/2014 15:00,20,20,20,20
01/01/2014 16:00,20,20,20,20
01/01/2014 17:00,20,20,20,20
01/01/2014 18:00,20,20,20,20
01/01/2014 19:00,20,20,20,20
01/01/2014 20:00,20,20,20,20
01/01/2014 21:00,20,20,20,20
01/01/2014 22:00,20,20,20,20
01/01/2014 23:00,20,20,20,20
01/02/2014 00:00,20,20,20,20
01/02/2014 01:00,20,20,20,20
01/02/2014 02:00,20,20,20,20
01/02/2014 03:00,20,20,20,20
01/02/2014 04:00,20,20,20,20
01/02/2014 05:00,20,20,20,20
01/02/2014 06:00,20,20,20,20
01/02/2014 07:00,20,20,20,20
01/02/2014 08:00,20,20,20,20
01/02/2014 09:00,20,20,20,20
01/02/2014 10:00,20,20,20,20
01/02/2014 11:00,20,20,20,20
01/02/2014 12:00,20,20,20,20
01/02/2014 13:00,20,20,20,20
01/02/2014 14:00,20,20,20,20
01/02/2014 15:00,20,20,20,20
01/02/2014 16:00,20,20,20,20
01/02/2014 17:00,20,20,20,20
01/02/2014 18:00,20,20,20,20
01/02/2014 19:00,20,20,20,20
01/02/2014 20:00,20,20,20,20
01/02/2014 21:00,20,20,20,20
01/02/2014 22:00,20,20,20,20
01/02/2014 23:00,20,20,20,20
01/03/2014 00:00,20,20,20,20
01/03/2014 01:00,20,20,20,20
01/03/2014 02:00,20,20,20,20
01/03/2014 03:00,20,20,20,20
01/03/2014 04:00,20,20,20,20
01/03/2014 05:00,20,20,20,20
01/03/2014 06:00,20,20,20,20
01/03/2014 07:00,20,20,20,20
01/03/2014 08:00,20,20,20,20
01/03/2014 09:00,20,20,20,20
01/03/2014 10:00,20,20,20,20
01/03/2014 11:00,20,20,20,20
01/03/2014 12:00,20,20,20,20
01/03/2014 13:00,20,20,20,20
01/03/2014 14:00,20,20,20,20
01/03/2014 15:00,20,20,20,20
01/03/2014 16:00,20,20,20,20
01/03/2014 17:00,20,20,20,20
01/03/2014 18:00,20,20,20,20
01/03/2014 19:00,20,20,20,20
01/03/2014 20:00,20,20,20,20
01/03/2014 21:00,20,20,20,20
01/03/2014 22:00,20,20,20,20
01/03/2014 23:00,20,20,20,20
01/04/2014 00:00,20,20,20,20
01/04/2014 01:00,20,20,20,20
01/04/2014 02:00,20,20,20,20
01/04/2014 03:00,20,20,20,20
01/04/2014 04:00,20,20,20,20
01/04/2014 05:00,20,20,20,20
01/04/2014 06:00,20,20,20,20
01/04/2014 07:00,20,20,20,20
01/04/2014 08:00,20,20,20,20
01/04/2014 09:00,20,20,20,20
01/04/2014 10:00,20,20,20,20
01/04/2014 11:00,20,20,20,20
01/04/2014 12:00,20,20,20,20
01/04/2014 13:00,20,20,20,20
01/04/2014 14:00,20,20,20,20
01/04/2014 15:00,20,20,20,20
01/04/2014 16:00,20,20,20,20
01/04/2014 17:00,20,20,20,20
01/04/2014 18:00,20,20,20,20
01/04/2014 19:00,20,20,20,20
01/04/2014 20:00,20,20,20,20
01/04/2014 21:00,20,20,20,20
01/04/2014 22:00,20,20,20,20
01/04/2014 23:00,20,20,20,20
01/05/2014 00:00,20,20,20,20
01/05/2014 01:00,20,20,20,20
01/05/2014 02:00,20,20,20,20
01/05/2014 03:00,20,20,20,20
01/05/2014 03:59,20,20,20,20
01/05/2014 04:59,20,20,20,20
01/05/2014 05:59,20,20,20,20
01/05/2014 06:59,20,20,20,20
01/05/2014 07:59,20,20,20,20
01/05/2014 08:59,20,20,20,20
01/05/2014 09:59,20,20,20,20
01/05/2014 10:59,20,20,20,20
01/05/2014 11:59,20,20,20,20
01/05/2014 12:59,20,20,20,20
01/05/2014 13:59,20,20,20,20
01/05/2014 14:59,20,20,20,20
01/05/2014 15:59,20,20,20,20
01/05/2014 16:59,20,20,20,20
01/05/2014 17:59,20,20,20,20
01/05/2014 18:59,20,20,20,20
01/05/2014 19:59,20,20,20,20
01/05/2014 20:59,20,20,20,20
01/05/2014 21:59,20,20,20,20
01/05/2014 22:59,20,20,20,20
01/05/2014 23:59,20,20,20,20
01/06/2014 00:59,20,20,20,20
01/06/2014 01:59,20,20,20,20
01/06/2014 02:59,20,20,20,20
01/06/2014 03:59,20,20,20,20
01/06/2014 04:59,20,20,20,20
01/06/2014 05:59,20,20,20,20
01/06/2014 06:59,20,20,20,20
01/06/2014 07:59,20,20,20,20
01/06/2014 08:59,20,20,20,20
01/06/2014 09:59,20,20,20,20
01/06/2014 10:59,20,20,20,20
01/06/2014 11:59,20,20,20,20
01/06/2014 12:59,20,20,20,20
01/06/2014 13:59,20,20,20,20
01/06/2014 14:59,20,20,20,20
01/06/2014 15:59,20,20,20,20
01/06/2014 16:59,20,20,20,20
01/06/2014 17:59,20,20,20,20
01/06/2014 18:59,20,20,20,20
01/06/2014 19:59,20,20,20,20
01/06/2014 20:59,20,20,20,20
01/06/2014 21:59,20,20,20,20
01/06/2014 22:59,20,20,20,20
01/06/2014 23:59,20,20,20,20
01/07/2014 00:59,20,20,20,20
01/07/2014 01:59,20,20,20,20
01/07/2014 02:59,20,20,20,20
01/07/2014 03:59,20,20,20,20
01/07/2014 04:59,20,20,20,20
01/07/2014 05:59,20,20,20,20
01/07/2014 06:59,20,20,20,20
01/07/2014 07:59,20,20,20,20
01/07/2014 08:59,20,20,20,20
01/07/2014 09:59,20,20,20,20
01/07/2014 10:59,20,20,20,20
01/07/2014 11:59,20,20,20,20
01/07/2014 12:59,20,20,20,20
01/07/2014 13:59,20,20,20,20
01/07/2014 14:59,20,20,20,20
01/07/2014 15:59,20,20,20,20
01/07/2014 16:59,20,20,20,20
01/07/2014 17:59,20,20,20,20
01/07/2014 18:59,20,20,20,20
01/07/2014 19:59,20,20,20,20
01/07/2014 20:59,20,20,20,20
01/07/2014 21:59,20,20,20,20
01/07/2014 22:59,20,20,20,20
01/07/2014 23:59,20,20,20,20
01/08/2014 00:59,20,20,20,20
01/08/2014 01:59,20,20,20,20
01/08/2014 02:59,20,20,20,20
01/08/2014 03:59,20,20,20,20
01/08/2014 04:59,20,20,20,20
01/08/2014 05:59,20,20,20,20
01/08/2014 06:59,20,20,20,20
01/08/2014 07:59,20,20,20,20
01/08/2014 08:59,20,20,20,20
01/08/2014 09:59,20,20,20,20
01/08/2014 10:59,20,20,20,20
01/08/2014 11:59,20,20,20,20
01/08/2014 12:59,20,20,20,20
01/08/2014 13:59,20,20,20,20
01/08/2014 14:59,20,20,20,20
01/08/2014 15:59,20,20,20,20
01/08/2014 16:59,20,20,20,20
01/08/2014 17:59,20,20,20,20
01/08/2014 18:59,20,20,20,20
01/08/2014 19:59,20,20,20,20
01/08/2014 20:59,20,20,20,20
01/08/2014 21:59,20,20,20,20
01/08/2014 22:59,20,20,20,20
01/08/2014 23:59,20,20,20,20
01/09/2014 00:59,20,20,20,20
01/09/2014 01:59,20,20,20,20
01/09/2014 02:59,20,20,20,20
01/09/2014 03:59,20,20,20,20
01/09/2014 04:59,20,20,20,20
01/09/2014 05:59,20,20,20,20
01/09/2014 06:59,20,20,20,20
01/09/2014 07:59,20,20,20,20
01/09/2014 08:59,20,20,20,20
01/09/2014 09:59,20,20,20,20
01/09/2014 10:59,20,20,20,20
